0.010000	-nan	-nan
2.255000	-18.591300	1.777273
2.265000	4.465000	2.553749
2.275000	-11.237700	2.646865
2.285000	0.703100	2.672476
2.295000	-20.085200	2.494029
2.305000	4.575200	2.476209
2.315000	-10.451900	2.337304
2.325000	0.209200	1.729847
2.335000	-1.228800	1.601607
2.345000	-4.623900	1.415151
2.355000	0.992000	1.157417
2.365000	-2.673000	1.041417
2.375000	-0.939700	0.773171
2.385000	-0.625500	0.624167
2.395000	-0.442100	0.592149
2.405000	0.212500	0.578499
2.415000	-0.457100	0.582568
2.425000	-0.669700	0.543569
2.435000	-0.553800	0.448257
2.445000	-0.283500	0.371588
2.455000	-0.058500	0.377846
2.465000	-0.204200	0.363081
2.475000	-0.156900	0.314307
2.485000	-0.249900	0.297719
2.495000	-0.263300	0.286075
2.505000	-0.160600	0.268884
2.520000	-0.126650	0.124137
2.540000	-0.183650	0.100344
2.560000	-0.283400	0.081882
2.580000	0.047500	0.083919
2.600000	-0.082400	0.080755
2.620000	-0.149000	0.057750
2.640000	-0.064400	0.055639
2.660000	-0.016600	0.062113
2.680000	-0.025850	0.057819
2.700000	-0.103600	0.048859
2.720000	-0.066900	0.045204
2.740000	-0.086600	0.044761
2.760000	0.032300	0.041714
2.780000	-0.054700	0.037212
2.800000	-0.042100	0.034979
2.820000	-0.021850	0.037501
2.840000	-0.082200	0.033976
2.860000	-0.033000	0.028615
2.880000	0.015350	0.027879
2.900000	-0.055050	0.025616
2.920000	-0.007400	0.023588
2.940000	-0.002650	0.024508
2.960000	-0.038500	0.024872
2.980000	-0.036450	0.023198
3.000000	0.013100	0.022969
3.020000	-0.053000	0.021527
3.040000	-0.014950	0.019525
3.060000	-0.019150	0.020299
3.080000	-0.004750	0.019665
3.100000	-0.009500	0.020285
3.120000	-0.040100	0.020767
3.140000	-0.019900	0.019157
3.160000	-0.006100	0.016731
3.180000	-0.001200	0.017695
3.200000	-0.012550	0.018203
3.220000	-0.012000	0.017899
3.240000	-0.005500	0.017094
3.260000	-0.039400	0.015259
3.280000	-0.002350	0.014150
3.300000	-0.007150	0.013552
3.320000	0.005600	0.014216
3.340000	-0.016100	0.014449
3.360000	-0.021600	0.013831
3.380000	0.002150	0.014794
3.400000	-0.019200	0.014511
3.420000	-0.014200	0.012442
3.440000	-0.014900	0.012590
3.460000	0.012350	0.012899
3.480000	-0.017350	0.011807
3.500000	0.000600	0.011863
3.520000	-0.013950	0.012195
3.540000	-0.003450	0.011426
3.560000	-0.008950	0.011422
3.580000	0.004050	0.011911
3.600000	-0.031000	0.012301
3.620000	0.014900	0.012035
3.640000	-0.003800	0.011943
3.660000	-0.018300	0.011050
3.680000	0.002350	0.009893
3.700000	-0.004800	0.009740
3.720000	-0.003000	0.010095
3.740000	-0.013800	0.010368
3.760000	-0.003250	0.010581
3.780000	0.003150	0.010795
3.800000	-0.024050	0.010217
3.820000	0.005400	0.009236
3.840000	-0.005200	0.008489
3.860000	0.007550	0.009144
3.880000	-0.017400	0.010250
3.900000	-0.004250	0.010001
3.920000	-0.011650	0.009650
3.940000	0.008600	0.009936
3.960000	-0.009550	0.009718
3.980000	-0.009100	0.009657
4.000000	-0.000600	0.009754
4.020000	-0.001550	0.009549
4.040000	-0.010600	0.009273
4.060000	-0.000800	0.008953
4.080000	0.007250	0.009041
4.100000	-0.013000	0.008947
4.120000	0.000150	0.009134
4.140000	-0.013650	0.009084
4.160000	0.004500	0.008195
4.180000	-0.011400	0.008147
4.200000	0.006150	0.007806
4.220000	-0.002600	0.007740
4.240000	-0.009400	0.007944
4.260000	0.006550	0.007422
4.280000	-0.004650	0.007998
4.300000	-0.004650	0.008404
4.320000	-0.011550	0.007746
4.340000	0.004000	0.007418
4.360000	0.007800	0.008231
4.380000	-0.008200	0.008655
4.400000	-0.003450	0.008248
4.420000	-0.001750	0.007920
4.440000	-0.009200	0.007994
4.460000	0.000700	0.007864
4.480000	-0.001550	0.008537
4.500000	-0.004050	0.008331
4.520000	0.014800	0.007246
4.540000	-0.011200	0.007389
4.560000	-0.001300	0.006404
4.580000	-0.009750	0.005990
4.600000	0.003350	0.006586
4.620000	0.000550	0.007752
4.640000	-0.012150	0.008326
4.660000	0.008150	0.007885
4.680000	0.000500	0.007790
4.700000	-0.014500	0.007350
4.720000	-0.003550	0.006571
4.740000	0.005400	0.007206
4.760000	-0.010550	0.007540
4.780000	0.004800	0.007180
4.800000	-0.001050	0.007215
4.820000	-0.002350	0.007355
4.840000	-0.009800	0.007701
4.860000	0.006900	0.007547
4.880000	-0.004850	0.006756
4.900000	-0.001600	0.006640
4.920000	0.007900	0.007172
4.940000	-0.010200	0.007200
4.960000	0.002800	0.006588
4.980000	-0.004650	0.007469
5.000000	-0.008500	0.007714
5.020000	0.004650	0.007241
5.040000	0.000500	0.007177
5.060000	-0.004550	0.006695
5.080000	-0.010800	0.007116
5.100000	0.014600	0.006852
5.120000	-0.008500	0.006605
5.140000	0.012100	0.007297
5.160000	-0.010050	0.007658
5.180000	-0.002700	0.007327
5.200000	0.003700	0.007263
5.220000	-0.012700	0.007149
5.240000	-0.001800	0.006870
5.260000	-0.002800	0.006428
5.280000	-0.005800	0.006997
5.300000	0.008250	0.007189
5.320000	0.003600	0.006107
5.340000	-0.005150	0.006476
5.360000	-0.007750	0.007284
5.380000	0.012050	0.007295
5.400000	-0.007050	0.006455
5.420000	-0.000750	0.006262
5.440000	-0.003950	0.006658
5.460000	-0.003750	0.006491
5.480000	-0.007500	0.006539
5.500000	0.001550	0.006347
5.520000	0.010150	0.006329
5.540000	-0.005350	0.006166
5.560000	-0.003550	0.006017
5.580000	-0.000850	0.006255
5.600000	-0.002400	0.006437
5.620000	0.005250	0.006922
5.640000	-0.003550	0.006697
5.660000	-0.002950	0.006234
5.680000	0.005100	0.006164
5.700000	-0.008500	0.006511
5.720000	0.007450	0.007004
5.740000	-0.007700	0.007160
5.760000	0.003200	0.006536
5.780000	-0.007750	0.006315
5.800000	0.007000	0.006658
5.820000	-0.007550	0.006156
5.840000	0.010200	0.006296
5.860000	-0.014900	0.006690
5.880000	0.003750	0.006378
5.900000	-0.010250	0.006177
5.920000	0.009050	0.006229
5.940000	-0.004650	0.006623
5.960000	0.004800	0.007022
5.980000	-0.004750	0.006379
6.000000	-0.001700	0.006302
6.020000	-0.005350	0.006515
6.040000	0.001700	0.005899
6.060000	0.003100	0.005661
6.080000	-0.000600	0.005908
6.100000	0.003600	0.006450
6.120000	-0.009800	0.006730
6.140000	0.002250	0.006565
6.160000	-0.000050	0.006496
6.180000	-0.004500	0.006731
6.200000	-0.006650	0.006480
6.220000	0.004400	0.005793
6.240000	-0.006550	0.006020
6.260000	0.013750	0.006036
6.280000	-0.016650	0.006295
6.300000	0.018250	0.006813
6.320000	-0.004300	0.006628
6.340000	-0.004100	0.006284
6.360000	-0.003600	0.006185
6.380000	0.010100	0.006476
6.400000	-0.008750	0.006399
6.420000	-0.003300	0.006102
6.440000	0.012750	0.006255
6.460000	-0.019800	0.006257
6.480000	0.009800	0.005879
6.500000	0.001600	0.006218
6.520000	-0.009750	0.006401
6.540000	-0.001500	0.005746
6.560000	0.007600	0.005630
6.580000	-0.008550	0.006557
6.600000	-0.002800	0.006685
6.620000	0.005350	0.006056
6.640000	0.003850	0.005992
6.660000	-0.005850	0.006044
6.680000	-0.005250	0.006390
6.700000	0.002450	0.006490
6.720000	-0.000150	0.006131
6.740000	0.002900	0.005996
6.760000	-0.006350	0.006373
6.780000	0.004900	0.006699
6.800000	-0.000200	0.006600
6.820000	-0.002650	0.005976
6.840000	-0.000800	0.005471
6.860000	0.002150	0.006369
6.880000	-0.005550	0.006547
6.900000	0.003450	0.005898
6.920000	-0.002250	0.005665
6.940000	0.001100	0.005526
6.960000	-0.008100	0.006366
6.980000	-0.001950	0.006632
7.000000	0.009200	0.006068
7.020000	-0.000650	0.005875
7.040000	-0.004650	0.005955
7.060000	-0.000650	0.005762
