2.000000e-02	-nan	-nan
6.000000e+00	4.399917e-02	6.733546e-04
6.120000e+00	4.176833e-02	6.683390e-04
6.240000e+00	4.109167e-02	6.642308e-04
6.360000e+00	3.905500e-02	6.309659e-04
6.480000e+00	3.728750e-02	5.739251e-04
6.600000e+00	3.591833e-02	6.006027e-04
6.720000e+00	3.497750e-02	6.345023e-04
6.840000e+00	3.322000e-02	6.645059e-04
6.960000e+00	3.242333e-02	6.637678e-04
7.080000e+00	3.070917e-02	6.219723e-04
7.200000e+00	2.994750e-02	5.949114e-04
7.320000e+00	2.890750e-02	5.774296e-04
7.440000e+00	2.841250e-02	5.435312e-04
7.560000e+00	2.694083e-02	5.279916e-04
7.680000e+00	2.657500e-02	5.106866e-04
7.800000e+00	2.555917e-02	4.740572e-04
7.920000e+00	2.460250e-02	5.042793e-04
8.040000e+00	2.331750e-02	5.522666e-04
8.160000e+00	2.384083e-02	5.727048e-04
8.280000e+00	2.286250e-02	6.029502e-04
8.400000e+00	2.122750e-02	6.055663e-04
8.520000e+00	2.139667e-02	5.550335e-04
8.640000e+00	2.048583e-02	5.379765e-04
8.760000e+00	2.040667e-02	5.139736e-04
8.880000e+00	1.935500e-02	4.843559e-04
9.000000e+00	1.890417e-02	5.181429e-04
9.120000e+00	1.830583e-02	5.047028e-04
9.240000e+00	1.822750e-02	4.823317e-04
9.360000e+00	1.753417e-02	5.041948e-04
9.480000e+00	1.768000e-02	5.354401e-04
9.600000e+00	1.659333e-02	5.459229e-04
9.720000e+00	1.531500e-02	5.086957e-04
9.840000e+00	1.625667e-02	4.898489e-04
9.960000e+00	1.513417e-02	5.142408e-04
1.008000e+01	1.542417e-02	5.174980e-04
1.020000e+01	1.464917e-02	4.974892e-04
1.032000e+01	1.423083e-02	4.858375e-04
1.019000e+01	1.486711e-02	-1.589013e-04
1.020000e+01	1.475300e-02	1.506461e-04
1.060000e+01	1.379400e-02	1.466892e-04
1.100000e+01	1.249550e-02	1.418908e-04
1.140000e+01	1.160700e-02	1.346894e-04
1.180000e+01	1.110675e-02	1.395564e-04
1.220000e+01	1.010875e-02	1.416409e-04
1.260000e+01	9.612750e-03	1.363580e-04
1.300000e+01	8.853250e-03	1.336837e-04
1.340000e+01	8.423250e-03	1.179441e-04
1.380000e+01	8.078250e-03	1.130991e-04
1.420000e+01	7.539250e-03	1.253437e-04
1.460000e+01	7.103250e-03	1.267617e-04
1.500000e+01	6.626750e-03	1.210208e-04
1.540000e+01	6.458750e-03	1.199635e-04
1.580000e+01	5.982250e-03	1.197765e-04
1.620000e+01	5.808250e-03	1.182089e-04
1.660000e+01	5.490500e-03	1.186327e-04
1.700000e+01	5.204000e-03	1.191832e-04
1.740000e+01	5.077500e-03	1.174311e-04
1.780000e+01	4.623750e-03	1.224956e-04
1.820000e+01	4.716500e-03	1.195756e-04
1.860000e+01	4.228500e-03	1.149632e-04
1.900000e+01	4.306750e-03	1.157775e-04
1.940000e+01	3.906250e-03	1.110026e-04
1.980268e+01	3.980412e-03	1.071420e-04
2.066646e+01	3.511874e-03	3.131364e-05
2.203235e+01	3.118425e-03	2.856646e-05
2.348852e+01	2.680818e-03	2.488688e-05
2.504093e+01	2.453014e-03	2.333241e-05
2.669595e+01	2.096126e-03	2.135157e-05
2.846035e+01	1.841623e-03	1.906264e-05
3.034136e+01	1.652234e-03	1.789874e-05
3.234670e+01	1.437897e-03	1.587191e-05
3.448457e+01	1.276821e-03	1.423160e-05
3.676373e+01	1.100265e-03	1.251817e-05
3.919353e+01	9.770172e-04	1.140081e-05
4.178393e+01	8.606346e-04	1.067617e-05
4.454554e+01	7.565045e-04	9.337679e-06
4.748966e+01	6.625745e-04	8.445134e-06
5.062837e+01	5.824439e-04	7.918105e-06
5.397451e+01	5.187377e-04	7.505346e-06
5.754182e+01	4.604745e-04	6.812397e-06
6.134490e+01	3.972503e-04	5.977125e-06
6.539933e+01	3.579239e-04	5.279458e-06
6.972172e+01	3.017708e-04	4.504423e-06
7.432980e+01	2.706141e-04	4.211320e-06
7.924243e+01	2.399907e-04	3.998222e-06
8.447975e+01	2.130490e-04	3.684695e-06
9.006322e+01	1.846208e-04	3.248136e-06
9.646362e+01	1.576565e-04	2.489129e-06
1.048004e+02	1.387364e-04	1.732456e-06
1.148995e+02	1.150871e-04	1.541579e-06
1.259718e+02	9.419495e-05	1.346404e-06
1.381110e+02	7.871814e-05	1.101719e-06
1.514200e+02	6.530515e-05	9.816350e-07
1.660115e+02	5.418580e-05	8.915940e-07
1.820093e+02	4.696679e-05	7.700433e-07
1.995486e+02	3.669020e-05	6.256923e-07
2.187780e+02	3.202343e-05	5.705103e-07
2.398605e+02	2.533603e-05	4.607461e-07
2.629746e+02	2.205843e-05	3.847555e-07
2.883161e+02	1.757318e-05	3.780606e-07
3.160996e+02	1.592529e-05	3.224712e-07
3.465606e+02	1.204604e-05	2.672889e-07
3.799568e+02	1.034886e-05	2.308880e-07
4.165713e+02	8.992731e-06	1.883379e-07
4.567142e+02	6.882903e-06	1.724377e-07
5.007253e+02	6.169326e-06	1.586685e-07
5.489776e+02	4.921697e-06	1.347040e-07
6.018798e+02	4.133090e-06	1.137207e-07
6.598798e+02	3.301679e-06	9.882844e-08
7.234689e+02	2.960355e-06	8.040382e-08
7.931859e+02	2.376525e-06	6.496012e-08
8.696211e+02	1.991274e-06	5.664809e-08
9.544203e+02	1.662028e-06	5.245187e-08
1.047391e+03	1.335521e-06	4.856160e-08
1.148322e+03	1.169829e-06	4.058099e-08
1.258981e+03	9.736922e-07	3.631484e-08
1.380302e+03	7.643934e-07	3.348696e-08
1.513314e+03	6.612663e-07	2.817756e-08
1.659145e+03	5.323403e-07	2.373491e-08
1.819028e+03	4.430970e-07	2.100105e-08
1.994318e+03	4.150577e-07	1.875250e-08
2.186501e+03	2.945025e-07	1.515529e-08
2.397203e+03	2.708871e-07	1.260778e-08
2.628209e+03	2.118986e-07	1.241072e-08
2.881476e+03	1.800618e-07	1.016393e-08
3.159148e+03	1.463317e-07	8.193595e-09
3.463579e+03	1.205935e-07	7.353467e-09
3.797346e+03	1.094211e-07	6.553252e-09
4.163276e+03	8.308274e-08	5.799055e-09
4.564470e+03	7.959298e-08	5.148317e-09
5.004324e+03	5.759943e-08	4.504130e-09
5.486565e+03	4.758053e-08	3.580766e-09
6.015276e+03	4.593004e-08	3.242195e-09
6.594938e+03	3.430605e-08	3.006372e-09
7.230458e+03	2.722898e-08	2.524068e-09
7.927219e+03	2.318909e-08	2.168971e-09
8.691125e+03	1.977422e-08	1.891817e-09
