2.000000e-02	-nan	-nan
2.485000e+00	-1.809250e-01	2.936278e-01
2.495000e+00	-5.354200e-01	2.653315e-01
2.505000e+00	-1.067600e-01	2.708536e-01
2.515000e+00	4.886140e-01	2.749555e-01
2.525000e+00	-3.647630e-01	2.457944e-01
2.535000e+00	-4.067440e-01	1.998387e-01
2.545000e+00	-7.999500e-02	1.902283e-01
2.555000e+00	1.149040e-01	1.839976e-01
2.565000e+00	-4.472300e-01	1.708514e-01
2.575000e+00	6.623600e-02	1.647741e-01
2.585000e+00	-1.525270e-01	1.674867e-01
2.595000e+00	-2.096400e-02	1.579036e-01
2.605000e+00	-2.329290e-01	1.472606e-01
2.615000e+00	-2.279220e-01	1.405041e-01
2.625000e+00	5.832000e-03	1.303719e-01
2.635000e+00	5.304600e-02	1.312597e-01
2.645000e+00	-1.878900e-01	1.243837e-01
2.655000e+00	-1.200950e-01	1.106076e-01
2.665000e+00	-3.519600e-02	1.082112e-01
2.675000e+00	-6.216000e-03	1.045881e-01
2.685000e+00	-1.213790e-01	9.893247e-02
2.695000e+00	-3.913000e-03	1.046291e-01
2.705000e+00	9.011400e-02	1.055955e-01
2.715000e+00	-2.181180e-01	9.245698e-02
2.725000e+00	2.931400e-02	8.867499e-02
2.735000e+00	-9.308800e-02	9.275200e-02
2.745000e+00	6.621000e-02	9.070837e-02
2.755000e+00	-2.103900e-01	8.418515e-02
2.765000e+00	-1.258100e-02	7.962154e-02
2.775000e+00	-3.077100e-02	7.527414e-02
2.785000e+00	-5.320500e-02	6.745122e-02
2.795000e+00	4.232700e-02	7.162863e-02
2.805000e+00	-1.142670e-01	7.238929e-02
2.815000e+00	-1.307800e-02	6.676368e-02
2.825000e+00	-2.115500e-02	6.404013e-02
2.835000e+00	-5.970400e-02	6.315516e-02
2.845000e+00	3.862000e-03	6.301946e-02
2.855000e+00	-2.889700e-02	6.247994e-02
2.865000e+00	-1.159500e-02	6.051446e-02
2.875000e+00	-9.304100e-02	5.781101e-02
2.885000e+00	4.662800e-02	5.665936e-02
2.895000e+00	-1.636440e-01	5.445383e-02
2.905000e+00	5.764400e-02	5.161249e-02
2.915000e+00	-6.707100e-02	4.810733e-02
2.925000e+00	5.673400e-02	5.360756e-02
2.935000e+00	-6.207400e-02	5.627472e-02
2.945000e+00	-5.779300e-02	5.075217e-02
2.955000e+00	-9.635000e-03	4.889698e-02
2.965000e+00	-4.499100e-02	4.615999e-02
